Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,536.91064453125,539.8824462890625,531.1403198242188,537.4554443359375,522.123291015625,3275674
2017-01-03,539.8081665039062,543.349609375,535.4742431640625,539.5852661132812,524.1923217773438,2969384
2017-01-04,541.31884765625,541.3683471679688,527.1531372070312,528.5647583007812,513.4862060546875,4796129
2017-01-05,530.4716796875,534.8798828125,529.3572387695312,533.6416015625,518.418212890625,4030815
2017-01-06,532.056640625,537.4059448242188,531.5117797851562,532.4281005859375,517.2393188476562,3620853
2017-01-09,533.4434814453125,537.9012451171875,530.4716796875,533.7902221679688,518.5625,2413173
2017-01-10,534.9293823242188,542.061767578125,534.9293823242188,539.8081665039062,524.4088134765625,5237984
2017-01-11,542.3590087890625,542.7056884765625,536.91064453125,537.926025390625,522.580322265625,5296152
2017-01-12,538.3965454101562,540.0557861328125,534.830322265625,536.5639038085938,521.257080078125,2017673
2017-01-13,537.1830444335938,543.5972290039062,537.1830444335938,540.08056640625,524.6734619140625,3338688
2017-01-16,539.857666015625,541.8389282226562,531.9328002929688,533.072021484375,517.8648681640625,5544068
2017-01-17,527.4998168945312,528.9857177734375,514.374267578125,515.736328125,501.0237121582031,18106600
2017-01-18,516.4049682617188,519.0796508789062,509.5450134277344,511.42718505859375,496.83746337890625,7322904
2017-01-19,512.7149658203125,517.7423095703125,510.6594543457031,511.9967956542969,497.390869140625,7053690
2017-01-20,512.12060546875,513.8541870117188,507.1427917480469,508.0838623046875,493.58953857421875,4054233
2017-01-23,506.1026611328125,510.6594543457031,501.6448974609375,503.18035888671875,488.825927734375,6326471
2017-01-24,503.7251892089844,509.5697937011719,503.7251892089844,508.82684326171875,494.3113098144531,4347000
2017-01-25,511.1547546386719,511.50146484375,503.3041687011719,503.873779296875,489.4995422363281,11009842
2017-01-27,505.3349304199219,509.61932373046875,504.7157897949219,507.7371520996094,493.2527160644531,10089215
2017-01-30,507.6628723144531,518.3119506835938,507.58856201171875,517.4946899414062,502.73187255859375,7235452
2017-01-31,518.5100708007812,521.952392578125,515.2658081054688,517.6928100585938,502.92437744140625,6980274
2017-02-01,518.1385498046875,520.5160522460938,512.73974609375,519.8969116210938,505.0655517578125,5220617
2017-02-02,520.0702514648438,520.4664916992188,514.2504272460938,516.8507690429688,502.1062927246094,4199246
2017-02-03,518.0890502929688,520.2931518554688,510.21368408203125,511.9720153808594,497.36676025390625,6100788
2017-02-06,513.6312866210938,517.544189453125,511.1795349121094,515.9344482421875,501.2161560058594,4611263
2017-02-07,516.1077880859375,516.2811889648438,508.7773132324219,510.60992431640625,496.0435485839844,4571415
2017-02-08,510.60992431640625,514.2504272460938,506.20172119140625,507.7619323730469,493.2767639160156,7490523
2017-02-09,509.1735534667969,512.1453857421875,508.57916259765625,511.5262451171875,496.9337463378906,4551167
2017-02-10,512.6406860351562,512.9130859375,507.9600524902344,510.2384338378906,495.6826171875,5777310
2017-02-13,511.6500549316406,512.1453857421875,506.20172119140625,510.08984375,495.53826904296875,3953095
2017-02-14,512.6406860351562,521.5066528320312,510.1146240234375,519.97119140625,505.1377258300781,8419890
2017-02-15,521.5066528320312,523.7850341796875,517.717529296875,520.7141723632812,505.85955810546875,7031717
2017-02-16,521.333251953125,529.7039184570312,521.333251953125,528.7380981445312,513.6546020507812,9070869
2017-02-17,528.2427978515625,534.037841796875,524.2555541992188,532.7005004882812,517.50390625,6852052
2017-02-20,530.248779296875,534.3598022460938,528.2427978515625,532.6510009765625,517.455810546875,5376741
2017-02-21,532.5519409179688,540.3529663085938,531.487060546875,538.9909057617188,523.6148681640625,6547056
2017-02-22,541.3683471679688,600.1362915039062,540.873046875,598.080810546875,581.0191650390625,58759604
